Competency,Travel,Internal,Rank,Score,,,,,,,,,
Expert,0,1,1,15,,,,,,,,,
Proficient,0,1,2,14,,,,,,,,,
Expert,0,0,3,13,,,,,,,,,
Proficient,0,0,4,12,,,,,,,,,
Expert,1,1,5,11,,,,,,,,,
Proficient,1,1,6,10,,,,,,,,,
Comfortable,0,1,7,9,,,,,,,Competency,Travel,Internal
Comfortable,0,0,8,8,,,,,,,Proficient,0,1
Expert,1,0,9,7,,,,,,,Expert,1,1
Proficient,1,0,10,6,,,,,,,,,
Comfortable,1,1,11,5,,,,,,,,,
Comfortable,1,0,12,4,,,,,,,,,
Not-Comfortable,0,1,13,2,,,,,,,,,
Not-Comfortable,0,0,14,1,,,,,,,,,
Not-Comfortable,1,1,15,1,,,,,,,,,
Not-Comfortable,1,0,16,0,,,,,,,,,
